Roadway Name,Date,AM,PM
3 AVE,2012-01-08,105.64583333333333,204.74999999999997
FULTON AVENUE,2012-01-08,176.25,244.45833333333331
VAN BRUNT ST,2012-01-08,45.166666666666664,86.25
VANDERBILT AVE,2012-01-08,119.41666666666666,215.95833333333331
WASHINGTON AVE,2012-01-08,65.83333333333333,106.625
4 AVE,2012-01-09,196.54166666666669,254.56250000000003
AMBOY ROAD,2012-01-09,195.16666666666669,374.25
ANNADALE ROAD,2012-01-09,54.583333333333336,98.04166666666666
ARDEN AVENUE,2012-01-09,153.16666666666666,294.9583333333333
ARTHUR KILL ROAD,2012-01-09,204.95833333333334,313.25
Amboy Rd,2012-01-09,261.9166666666667,457.83333333333337
BAY ST,2012-01-09,227.20833333333334,359.16666666666663
BEACH STREET,2012-01-09,55.79166666666667,102.75
CASTLETON AVENUE,2012-01-09,154,269.8333333333333
CLOVE RD,2012-01-09,173.04166666666669,277.2916666666667
DRUMGOOLE ROAD EAST,2012-01-09,82.25,108.58333333333333
DRUMGOOLE ROAD WEST,2012-01-09,50.916666666666664,103.41666666666667
Delafield Ave,2012-01-09,57.416666666666664,89.625
FRANKLIN AV,2012-01-09,246.16666666666666,437.1666666666667
FRANKLIN AVE,2012-01-09,262.5833333333333,502.3333333333333
FULTON AVENUE,2012-01-09,168.08333333333331,254.125
Forest Ave,2012-01-09,259.2083333333333,490.85416666666663
GRAHAM AVENUE,2012-01-09,115.04166666666666,166.66666666666666
GREENE AVENUE,2012-01-09,51.25,86.33333333333333
GREENPOINT AVENUE,2012-01-09,128.125,175.125
HUMBOLDT STREET,2012-01-09,117.5,221.08333333333334
HYLAN BLVD,2012-01-09,305.4583333333333,557.375
KENT AVENUE,2012-01-09,157.16666666666666,275.3333333333333
KINGSLAND AVENUE,2012-01-09,173.5,190.16666666666666
LEWIS AVE,2012-01-09,244.5,389.5
LITTLE CLOVE ROAD,2012-01-09,98.91666666666666,174.83333333333331
MALCOLM X BLVD,2012-01-09,161.08333333333334,258.125
MANOR RD,2012-01-09,171.8125,322.2083333333333
MARCUS GARVEY BLVD,2012-01-09,249.33333333333334,465.9166666666667
MARCY AVENUE,2012-01-09,235.66666666666666,352
MORGAN AVE,2012-01-09,223.875,295.125
NARROWS ROAD SOUTH,2012-01-09,54,91.91666666666667
OCEAN TERRACE,2012-01-09,110.375,182.33333333333331
PARK AVENUE,2012-01-09,112.625,181.33333333333331
POST AVENUE,2012-01-09,116.16666666666666,232.75
QUINCY ST,2012-01-09,38.083333333333336,70.20833333333334
RALPH AVE,2012-01-09,128.875,212.875
RICHMOND AVENUE,2012-01-09,331.33333333333337,642.0833333333334
RICHMOND ROAD,2012-01-09,231.70833333333331,392.9166666666667
ROCKAWAY AVE,2012-01-09,137.625,218.91666666666669
Richmond Ter,2012-01-09,221.9375,333.6666666666667
