date,meridiem,Precip Type,Temperature,Humidity,Wind Speed
2006-01-01,AM,rain,1.945370370370371,0.83,19.562841666666667
2006-01-01,PM,rain,5.8009259259259265,0.8066666666666666,23.182658333333336
2006-01-02,AM,rain,5.918518518518518,0.7841666666666667,21.339208333333335
2006-01-02,PM,rain,4.9185185185185185,0.9049999999999999,13.764158333333334
2006-01-03,AM,rain,2.0893518518518523,0.8941666666666667,10.699791666666668
2006-01-03,PM,rain,2.549537037037037,0.9025,6.135441666666668
2006-01-04,AM,rain,2.0402777777777783,0.9216666666666665,6.932391666666667
2006-01-04,PM,rain,2.5078703703703704,0.8891666666666667,16.227458333333335
2006-01-05,AM,rain,1.8898148148148157,0.9541666666666669,12.044141666666667
2006-01-05,PM,rain,3.5064814814814818,0.9424999999999999,6.9860583333333315
2006-01-06,AM,rain,2.6013888888888896,0.9583333333333331,4.648875000000001
2006-01-06,PM,rain,2.4222222222222225,0.9358333333333332,6.6828416666666675
2006-01-07,AM,rain,1.3574074074074076,0.9633333333333334,6.740533333333334
2006-01-07,PM,rain,0.6282407407407403,0.9083333333333332,6.658691666666669
2006-01-08,AM,snow,-1.653240740740741,0.9249999999999999,4.0746416666666665
2006-01-08,PM,snow,-0.4027777777777783,0.8125,6.5044
2006-01-09,AM,snow,-3.909722222222222,0.8816666666666665,4.820608333333333
2006-01-09,PM,snow,0.21250000000000036,0.7125,5.675250000000001
2006-01-10,AM,snow,-1.049074074074074,0.8583333333333334,3.430641666666667
2006-01-10,PM,snow,0.12407407407407404,0.765,4.108183333333334
2006-01-11,AM,snow,-2.8611111111111107,0.9316666666666666,3.959258333333334
2006-01-11,PM,snow,-0.0333333333333331,0.8624999999999998,6.284366666666667
2006-01-12,AM,snow,-0.9166666666666666,0.9033333333333332,4.591183333333333
2006-01-12,PM,snow,0.1500000000000002,0.8683333333333333,4.627408333333334
2006-01-13,AM,snow,-0.8023148148148143,0.9358333333333334,5.632316666666667
2006-01-13,PM,rain,0.04953703703703788,0.9116666666666666,7.310741666666666
2006-01-14,AM,snow,-0.641666666666667,0.9041666666666665,5.936875000000001
2006-01-14,PM,snow,-1.276851851851852,0.8799999999999999,7.7078750000000005
2006-01-15,AM,snow,-3.8444444444444446,0.9141666666666667,7.067899999999999
2006-01-15,PM,snow,-2.513425925925926,0.81,7.691775000000001
2006-01-16,AM,snow,-3.578703703703703,0.8308333333333334,2.9972833333333333
2006-01-16,PM,snow,-3.614351851851852,0.8041666666666667,2.275466666666667
